id;title;main_story;main_plus_extras;completionist
593;Armies of Exigo;14.0;17.0;34.0
594;Armored Core;7.5;8.0;11.0
595;Armored Core 2;10.5;13.0;23.0
596;Armored Core 2: Another Age;20.5;39.0;49.0
597;Armored Core 3;17.0;17.5;28.0
598;Armored Core 4;10.5;19.0;22.5
599;Armored Core V;13.0;22.5;60.0
600;Armored Core: For Answer;8.0;15.0;83.0
601;Armored Core: Formula Front Extreme Battle;3.0;;
602;Armored Core: Master of Arena;5.5;;
603;Armored Core: Project Phantasma;5.5;11.5;12.0
604;Armored Core: Silent Line;8.0;15.0;30.0
606;Armorines: Project S.W.A.R.M.;;;
607;Army Corps of Hell;45.0;65.0;65.5
608;Army Men;;;
609;Army Men 3D;6.0;;
610;Army Men II;4.0;;
612;Army Men: Air Attack;8.5;;
613;Army Men: Air Attack 2;4.0;;
614;Army Men: Green Rogue;3.0;3.5;
615;Army Men: Sarge's Heroes;9.0;11.5;
616;Army Men: Sarge's Heroes 2;7.0;;11.0
617;Army Men: Toys in Space;;;
618;Army Men: World War;;;
619;Army Men: World War - Final Front;;;
620;Army Men: World War - Land Sea Air;;;
621;Army Men: World War - Team Assault;;;
622;Army of Two;6.5;7.5;9.0
623;Army of Two: The 40th Day;7.5;9.5;11.5
624;Army of Two: The Devil's Cartel;8.0;10.5;17.0
625;Around the World in 80 Days;;;4.0
626;Arsenal of Democracy;;;
627;Art Academy: First Semester;;;8.0
629;Art of Fighting;0.8;1.0;1.5
630;Art of Fighting 2;0.9666666666666667;1.0;6.0
631;Art of Fighting 3: The Path of the Warrior;0.6666666666666666;2.0;3.5
632;Art of Fighting Anthology;;;
633;Art Style: BOXLIFE;;;17.0
634;Art Style: PiCOPiCT;2.0;3.5;18.0
635;Arthur and the Invisibles;;10.0;
636;Arthur: The Quest for Excalibur;;;
637;Arx Fatalis;20.5;34.5;57.5
639;Ascendancy;33.0;;
640;Ascension: Deckbuilding Game;6.5;7.5;
641;Ascension (2012);0.7666666666666667;;1.5
642;Ascension to the Throne;;14.5;17.0
643;Ascension to the Throne: Valkyrie;;;
644;Aselia the Eternal;75.0;;
646;Asphalt 7: Heat;7.5;7.5;
647;Asphalt: Urban GT;10.0;;12.0
648;Asphalt: Urban GT 2;13.0;;15.0
649;Assassin's Creed;15.0;20.0;38.0
651;Assassin's Creed II;18.0;24.0;32.0
652;Assassin's Creed II: Battle of Forli DLC;1.5;1.5;2.0
653;Assassin's Creed II: Bonfire of the Vanities DLC;2.0;2.0;2.0
654;Assassin's Creed II: Discovery;3.0;5.0;8.0
655;Assassin's Creed III;14.0;25.0;
656;Assassin's Creed III: Benedict Arnold DLC;0.6666666666666666;0.8333333333333334;1.0
657;Assassin's Creed III: Liberation;9.0;11.0;16.5
658;Assassin's Creed III: The Tyranny of King Washington DLC;5.0;7.0;9.5
659;Assassin's Creed: Altair's Chronicles;5.0;5.0;5.0
660;Assassin's Creed: Bloodlines;6.5;8.0;15.5
661;Assassin's Creed: Brotherhood;15.0;22.0;29.0
662;Assassin's Creed: Brotherhood - Copernicus Conspiracy DLC;1.5;1.5;1.5
663;Assassin's Creed: Brotherhood - The Da Vinci Disappearance DLC;2.5;2.5;3.0
664;Assassin's Creed: Revelations;11.0;18.0;23.0
665;Assassin's Creed: Revelations - The Lost Archive DLC;2.0;2.0;3.0
667;Assault Heroes;2.0;3.0;
668;Assault Heroes 2;;5.5;
669;Assault Rigs;7.0;;
670;Assault: Retribution;;;2.5
671;Astal;2.0;;
672;Asterix (1993);1.0;2.0;
674;Asterix and the Secret Mission;;;2.0
675;Asterix at the Olympic Games;5.0;7.0;14.0
676;Asteroids;1.0;3.0;
677;Astonishia Story;16.5;19.0;20.5
678;Astral Masters;;;
679;Astro Boy (2004);4.0;;
680;Astro Boy: Omega Factor;3.0;6.5;12.0
681;Astro Tripper;2.0;;5.5
682;Astro Warrior;0.25;;
683;Astroblast;0.08333333333333333;;
684;Astronoka;;;
685;AstroPop;0.6333333333333333;;
686;Astroslugs;;;
687;Asuka 120% Limited Burning Fest.;1.5;;
688;Asura's Wrath;7.0;9.0;13.0
689;Asura's Wrath: Episode 11.5 - Forging Ahead;0.2833333333333333;0.31666666666666665;
690;Asura's Wrath: Episode 15.5 - Defiance;0.26666666666666666;0.3;
691;Asura's Wrath: Episode Pack - Part IV;2.0;2.0;2.5
692;Asura's Wrath: Lost Episode 1 - At Last, Someone Angrier Than Me;0.3333333333333333;0.4666666666666667;0.6833333333333333
693;Asura's Wrath: Lost Episode 2 - The Strongest vs. The Angriest;0.3;0.3333333333333333;1.0
694;Asylum (1981);;;
695;Atari Anthology;;;
696;Atari Classics Evolved;;;
697;Atari: 80 Classic Games in One!;;;
698;Atelier Annie: Alchemists of Sera Island;14.0;16.0;45.0
699;Atelier Ayesha: The Alchemist of Dusk;23.5;36.0;37.5
700;Atelier Iris 2: The Azoth of Destiny;29.5;31.5;42.0
701;Atelier Iris 3: Grand Phantasm;32.0;40.5;47.5
702;Atelier Iris: Eternal Mana;28.5;42.5;63.5
705;Atelier Meruru: The Apprentice of Arland;29.5;41.0;69.5
706;Atelier Rorona: The Alchemist of Arland;19.0;29.5;63.0
